Chronologic VCS simulator copyright 1991-2012
Contains Synopsys proprietary information.
Compiler version F-2011.12-SP1; Runtime version F-2011.12-SP1;  Dec  1 15:55 2013

Warning-[STASKW_RMRNA] Illegal entry
logTB.sv, 27
  Real numbers found at file log2Nums.txt line 1 while executing $readmem.
  Please ensure that only binary and hexadecimal numbers are used.

                 420 input = 03815584, logOutput = 00000011001110000001010101011000010000000000000000000000000000000, inverse =03815584, ref_input =03815584, ref_output=xxxxxxxx
                 430 input = 07655167, logOutput = 00000011010110110010101010001011001110000000000000000000000000000, inverse =07655167, ref_input =07655167, ref_output=xxxxxxxx
                 440 input = 07951999, logOutput = 00000011010111001010100011001100110010000000000000000000000000000, inverse =07951999, ref_input =07951999, ref_output=xxxxxxxx
                 450 input = 01868726, logOutput = 00000011000100001101000011100100110000000000000000000000000000000, inverse =01868726, ref_input =01868726, ref_output=xxxxxxxx
                 460 input = 04897643, logOutput = 00000011010001000100101110110010000110000000000000000000000000000, inverse =04897643, ref_input =04897643, ref_output=xxxxxxxx
                 470 input = 04455862, logOutput = 00000011010000100010101011000011000100000000000000000000000000000, inverse =04455862, ref_input =04455862, ref_output=xxxxxxxx
                 480 input = 06463130, logOutput = 00000011010100100011000110001001100000000000000000000000000000000, inverse =06463130, ref_input =06463130, ref_output=xxxxxxxx
                 490 input = 07093648, logOutput = 00000011010110000100100110110010010000000000000000000000000000000, inverse =07093648, ref_input =07093648, ref_output=xxxxxxxx
                 500 input = 07546866, logOutput = 00000011010110101010001101000011001100000000000000000000000000000, inverse =07546866, ref_input =07546866, ref_output=xxxxxxxx
                 510 input = 02760250, logOutput = 00000011001001110110000000100101000000000000000000000000000000000, inverse =02760250, ref_input =02760250, ref_output=xxxxxxxx
                 520 input = 06797026, logOutput = 00000011010100111100101110000001001100000000000000000000000000000, inverse =06797026, ref_input =06797026, ref_output=xxxxxxxx
                 530 input = 06550980, logOutput = 00000011010100101010100001001100000000000000000000000000000000000, inverse =06550980, ref_input =06550980, ref_output=xxxxxxxx
                 540 input = 01626117, logOutput = 00000011000011000100110000100010111000000000000000000000000000000, inverse =01626117, ref_input =01626117, ref_output=xxxxxxxx
                 550 input = 01189976, logOutput = 00000011000000110001001100101110110000000000000000000000000000000, inverse =01189976, ref_input =01189976, ref_output=xxxxxxxx
                 560 input = 04983640, logOutput = 00000011010001001100000110110010000000000000000000000000000000000, inverse =04983640, ref_input =04983640, ref_output=xxxxxxxx
                 570 input = 09597439, logOutput = 00000011011001010110010111010000111001000000000000000000000000000, inverse =09597439, ref_input =09597439, ref_output=xxxxxxxx
                 580 input = 03403857, logOutput = 00000011001101000000001110000101011100000000000000000000000000000, inverse =03403857, ref_input =03403857, ref_output=xxxxxxxx
                 590 input = 05852677, logOutput = 00000011010011000010100100110011101110000000000000000000000000000, inverse =05852677, ref_input =05852677, ref_output=xxxxxxxx
                 600 input = 02238119, logOutput = 00000011001000100011100000010001100100000000000000000000000000000, inverse =02238119, ref_input =02238119, ref_output=xxxxxxxx
                 610 input = 07512670, logOutput = 00000011010110101000100100110011100000000000000000000000000000000, inverse =07512670, ref_input =07512670, ref_output=xxxxxxxx
                 620 input = 02550951, logOutput = 00000011001001010101000010010101000100000000000000000000000000000, inverse =02550951, ref_input =02550951, ref_output=xxxxxxxx
                 630 input = 05059570, logOutput = 00000011010010000010110010101011100000000000000000000000000000000, inverse =05059570, ref_input =05059570, ref_output=xxxxxxxx
                 640 input = 06990767, logOutput = 00000011010101001100100000111011001110000000000000000000000000000, inverse =06990767, ref_input =06990767, ref_output=xxxxxxxx
                 650 input = 08909032, logOutput = 00000011011000100100001001000000110010000000000000000000000000000, inverse =08909032, ref_input =08909032, ref_output=xxxxxxxx
                 660 input = 09592914, logOutput = 00000011011001010110010010100100010100000000000000000000000000000, inverse =09592914, ref_input =09592914, ref_output=xxxxxxxx
                 670 input = 05472155, logOutput = 00000011010010100011100100001010101010000000000000000000000000000, inverse =05472155, ref_input =05472155, ref_output=xxxxxxxx
                 680 input = 01386244, logOutput = 00000011000001110000110001001000100000000000000000000000000000000, inverse =01386244, ref_input =01386244, ref_output=xxxxxxxx
                 690 input = 01492940, logOutput = 00000011000010010010010100101000000000000000000000000000000000000, inverse =01492940, ref_input =01492940, ref_output=xxxxxxxx
                 700 input = 02575082, logOutput = 00000011001001010111010100001000001000000000000000000000000000000, inverse =02575082, ref_input =02575082, ref_output=xxxxxxxx
                 710 input = 08407172, logOutput = 00000011011000010000000111000101110010000000000000000000000000000, inverse =08407172, ref_input =08407172, ref_output=xxxxxxxx
                 720 input = 02542821, logOutput = 00000011001001010100001010000010000100000000000000000000000000000, inverse =02542821, ref_input =02542821, ref_output=xxxxxxxx
                 730 input = 08142848, logOutput = 00000011011000000101000010100001001000000000000000000000000000000, inverse =08142848, ref_input =08142848, ref_output=xxxxxxxx
                 740 input = 02435249, logOutput = 00000011001001000011010100100100100100000000000000000000000000000, inverse =02435249, ref_input =02435249, ref_output=xxxxxxxx
                 750 input = 09292636, logOutput = 00000011011001001010010010011000110110000000000000000000000000000, inverse =09292636, ref_input =09292636, ref_output=xxxxxxxx
                 760 input = 03499837, logOutput = 00000011001101001001100110000011011100000000000000000000000000000, inverse =03499837, ref_input =03499837, ref_output=xxxxxxxx
                 770 input = 01965952, logOutput = 00000011000100101100101100101010010000000000000000000000000000000, inverse =01965952, ref_input =01965952, ref_output=xxxxxxxx
                 780 input = 02510838, logOutput = 00000011001001010001000010000011100000000000000000000000000000000, inverse =02510838, ref_input =02510838, ref_output=xxxxxxxx
                 790 input = 06160446, logOutput = 00000011010100001011000000100010001100000000000000000000000000000, inverse =06160446, ref_input =06160446, ref_output=xxxxxxxx
                 800 input = 04732888, logOutput = 00000011010000111001100101000100010000000000000000000000000000000, inverse =04732888, ref_input =04732888, ref_output=xxxxxxxx
                 810 input = 03516595, logOutput = 00000011001101010001011001011001010100000000000000000000000000000, inverse =03516595, ref_input =03516595, ref_output=xxxxxxxx
                 820 input = 08308286, logOutput = 00000011011000001100001000001010000110000000000000000000000000000, inverse =08308286, ref_input =08308286, ref_output=xxxxxxxx
                 830 input = 05852640, logOutput = 00000011010011000010100100110010000000000000000000000000000000000, inverse =05852640, ref_input =05852640, ref_output=xxxxxxxx
                 840 input = 05497236, logOutput = 00000011010010100100101110010001101100000000000000000000000000000, inverse =05497236, ref_input =05497236, ref_output=xxxxxxxx
                 850 input = 09171936, logOutput = 00000011011001000101110001100100110110000000000000000000000000000, inverse =09171936, ref_input =09171936, ref_output=xxxxxxxx
                 860 input = 02858390, logOutput = 00000011001010000101100000111001000000000000000000000000000000000, inverse =02858390, ref_input =02858390, ref_output=xxxxxxxx
                 870 input = 07572002, logOutput = 00000011010110101011100100000000000100000000000000000000000000000, inverse =07572002, ref_input =07572002, ref_output=xxxxxxxx
                 880 input = 07537290, logOutput = 00000011010110101001101110010100100000000000000000000000000000000, inverse =07537290, ref_input =07537290, ref_output=xxxxxxxx
                 890 input = 03804458, logOutput = 00000011001110000000010001000101100000000000000000000000000000000, inverse =03804458, ref_input =03804458, ref_output=xxxxxxxx
                 900 input = 05678216, logOutput = 00000011010010110011110000010000101100000000000000000000000000000, inverse =05678216, ref_input =05678216, ref_output=xxxxxxxx
